2026-04-22 15:37:22,593 - INFO - ================================================================================
2026-04-22 15:37:22,594 - INFO - INICIANDO PROCESO DE IMPORTACIÓN DE PRECIOS
2026-04-22 15:37:22,594 - INFO - ================================================================================
2026-04-22 15:37:22,595 - INFO - Buscando archivo Excel...
2026-04-22 15:37:22,595 - INFO - Directorio del script: C:\GitHub\Discordoba\Discordoba_Convertidor_Python\SAP\SAP_ITM1
2026-04-22 15:37:22,595 - INFO - Archivos Excel encontrados: ITM1.xlsx
2026-04-22 15:37:22,598 - INFO - Leyendo archivo: C:\GitHub\Discordoba\Discordoba_Convertidor_Python\SAP\SAP_ITM1\ITM1.xlsx
2026-04-22 15:37:27,436 - INFO - Registros encontrados: 31388
2026-04-22 15:37:27,436 - INFO - Columnas: PriceList, ItemCode, Price, Currency
2026-04-22 15:37:27,436 - INFO - Conectando a SQL Server...
2026-04-22 15:37:28,444 - INFO - ✓ Conexión establecida exitosamente
2026-04-22 15:37:28,516 - INFO - Procesando 31388 registros de precios...
2026-04-22 15:37:44,617 - INFO - Progreso: 100/31388 (0.3%) - Insertados: 0, Actualizados: 100
2026-04-22 15:38:01,192 - INFO - Progreso: 200/31388 (0.6%) - Insertados: 0, Actualizados: 200
2026-04-22 15:38:17,832 - INFO - Progreso: 300/31388 (1.0%) - Insertados: 0, Actualizados: 300
2026-04-22 15:38:34,195 - INFO - Progreso: 400/31388 (1.3%) - Insertados: 0, Actualizados: 400
2026-04-22 15:38:50,288 - INFO - Progreso: 500/31388 (1.6%) - Insertados: 0, Actualizados: 500
2026-04-22 15:39:06,435 - INFO - Progreso: 600/31388 (1.9%) - Insertados: 0, Actualizados: 600
2026-04-22 15:39:22,370 - INFO - Progreso: 700/31388 (2.2%) - Insertados: 0, Actualizados: 700
2026-04-22 15:39:38,733 - INFO - Progreso: 800/31388 (2.5%) - Insertados: 0, Actualizados: 800
2026-04-22 15:39:54,979 - INFO - Progreso: 900/31388 (2.9%) - Insertados: 0, Actualizados: 900
2026-04-22 15:40:12,247 - INFO - Progreso: 1000/31388 (3.2%) - Insertados: 0, Actualizados: 1000
2026-04-22 15:40:28,905 - INFO - Progreso: 1100/31388 (3.5%) - Insertados: 0, Actualizados: 1100
2026-04-22 15:40:46,090 - INFO - Progreso: 1200/31388 (3.8%) - Insertados: 0, Actualizados: 1200
2026-04-22 15:41:02,481 - INFO - Progreso: 1300/31388 (4.1%) - Insertados: 0, Actualizados: 1300
2026-04-22 15:41:18,851 - INFO - Progreso: 1400/31388 (4.5%) - Insertados: 0, Actualizados: 1400
2026-04-22 15:41:35,016 - INFO - Progreso: 1500/31388 (4.8%) - Insertados: 0, Actualizados: 1500
2026-04-22 15:41:51,197 - INFO - Progreso: 1600/31388 (5.1%) - Insertados: 0, Actualizados: 1600
2026-04-22 15:42:08,944 - INFO - Progreso: 1700/31388 (5.4%) - Insertados: 0, Actualizados: 1700
2026-04-22 15:42:25,026 - INFO - Progreso: 1800/31388 (5.7%) - Insertados: 0, Actualizados: 1800
2026-04-22 15:42:41,702 - INFO - Progreso: 1900/31388 (6.1%) - Insertados: 0, Actualizados: 1900
2026-04-22 15:42:58,455 - INFO - Progreso: 2000/31388 (6.4%) - Insertados: 0, Actualizados: 2000
2026-04-22 15:43:15,588 - INFO - Progreso: 2100/31388 (6.7%) - Insertados: 0, Actualizados: 2100
2026-04-22 15:43:31,805 - INFO - Progreso: 2200/31388 (7.0%) - Insertados: 0, Actualizados: 2200
2026-04-22 15:43:48,155 - INFO - Progreso: 2300/31388 (7.3%) - Insertados: 0, Actualizados: 2300
2026-04-22 15:44:05,998 - INFO - Progreso: 2400/31388 (7.6%) - Insertados: 0, Actualizados: 2400
2026-04-22 15:44:22,155 - INFO - Progreso: 2500/31388 (8.0%) - Insertados: 0, Actualizados: 2500
2026-04-22 15:44:38,783 - INFO - Progreso: 2600/31388 (8.3%) - Insertados: 0, Actualizados: 2600
2026-04-22 15:44:55,217 - INFO - Progreso: 2700/31388 (8.6%) - Insertados: 0, Actualizados: 2700
2026-04-22 15:45:12,325 - INFO - Progreso: 2800/31388 (8.9%) - Insertados: 0, Actualizados: 2800
2026-04-22 15:45:29,914 - INFO - Progreso: 2900/31388 (9.2%) - Insertados: 0, Actualizados: 2900
2026-04-22 15:45:46,091 - INFO - Progreso: 3000/31388 (9.6%) - Insertados: 0, Actualizados: 3000
2026-04-22 15:46:04,697 - INFO - Progreso: 3100/31388 (9.9%) - Insertados: 0, Actualizados: 3100
2026-04-22 15:46:25,457 - INFO - Progreso: 3200/31388 (10.2%) - Insertados: 0, Actualizados: 3200
2026-04-22 15:46:42,922 - INFO - Progreso: 3300/31388 (10.5%) - Insertados: 0, Actualizados: 3300
2026-04-22 15:47:05,933 - INFO - Progreso: 3400/31388 (10.8%) - Insertados: 0, Actualizados: 3400
2026-04-22 15:47:22,500 - INFO - Progreso: 3500/31388 (11.2%) - Insertados: 0, Actualizados: 3500
2026-04-22 15:47:39,746 - INFO - Progreso: 3600/31388 (11.5%) - Insertados: 0, Actualizados: 3600
