2026-03-19 14:15:48,585 - INFO - ================================================================================
2026-03-19 14:15:48,585 - INFO - INICIANDO PROCESO DE IMPORTACIÓN DE PRECIOS
2026-03-19 14:15:48,585 - INFO - ================================================================================
2026-03-19 14:15:48,585 - INFO - Buscando archivo Excel...
2026-03-19 14:15:48,585 - INFO - Directorio del script: C:\Convertidor\SAP\SAP_ITM1
2026-03-19 14:15:48,585 - INFO - Archivos Excel encontrados: ITM1.xlsx
2026-03-19 14:15:48,585 - INFO - Leyendo archivo: C:\Convertidor\SAP\SAP_ITM1\ITM1.xlsx
2026-03-19 14:15:51,146 - INFO - Registros encontrados: 31293
2026-03-19 14:15:51,146 - INFO - Columnas: PriceList, ItemCode, Price, Currency
2026-03-19 14:15:51,146 - INFO - Conectando a SQL Server...
2026-03-19 14:15:51,997 - INFO - ✓ Conexión establecida exitosamente
2026-03-19 14:15:52,065 - INFO - Procesando 31293 registros de precios...
2026-03-19 14:16:06,882 - INFO - Progreso: 100/31293 (0.3%) - Insertados: 25, Actualizados: 75
2026-03-19 14:16:21,729 - INFO - Progreso: 200/31293 (0.6%) - Insertados: 46, Actualizados: 154
2026-03-19 14:16:36,602 - INFO - Progreso: 300/31293 (1.0%) - Insertados: 67, Actualizados: 233
2026-03-19 14:16:51,433 - INFO - Progreso: 400/31293 (1.3%) - Insertados: 91, Actualizados: 309
2026-03-19 14:17:06,242 - INFO - Progreso: 500/31293 (1.6%) - Insertados: 115, Actualizados: 385
2026-03-19 14:17:21,034 - INFO - Progreso: 600/31293 (1.9%) - Insertados: 138, Actualizados: 462
2026-03-19 14:17:35,862 - INFO - Progreso: 700/31293 (2.2%) - Insertados: 162, Actualizados: 538
2026-03-19 14:17:50,813 - INFO - Progreso: 800/31293 (2.6%) - Insertados: 184, Actualizados: 616
2026-03-19 14:18:05,521 - INFO - Progreso: 900/31293 (2.9%) - Insertados: 212, Actualizados: 688
2026-03-19 14:18:20,326 - INFO - Progreso: 1000/31293 (3.2%) - Insertados: 232, Actualizados: 768
2026-03-19 14:18:35,362 - INFO - Progreso: 1100/31293 (3.5%) - Insertados: 256, Actualizados: 844
2026-03-19 14:18:50,333 - INFO - Progreso: 1200/31293 (3.8%) - Insertados: 280, Actualizados: 920
2026-03-19 14:19:05,157 - INFO - Progreso: 1300/31293 (4.2%) - Insertados: 305, Actualizados: 995
2026-03-19 14:19:20,047 - INFO - Progreso: 1400/31293 (4.5%) - Insertados: 325, Actualizados: 1075
2026-03-19 14:19:34,973 - INFO - Progreso: 1500/31293 (4.8%) - Insertados: 352, Actualizados: 1148
2026-03-19 14:19:49,834 - INFO - Progreso: 1600/31293 (5.1%) - Insertados: 377, Actualizados: 1223
2026-03-19 14:20:04,653 - INFO - Progreso: 1700/31293 (5.4%) - Insertados: 404, Actualizados: 1296
2026-03-19 14:20:19,673 - INFO - Progreso: 1800/31293 (5.8%) - Insertados: 427, Actualizados: 1373
2026-03-19 14:20:34,923 - INFO - Progreso: 1900/31293 (6.1%) - Insertados: 447, Actualizados: 1453
2026-03-19 14:20:49,843 - INFO - Progreso: 2000/31293 (6.4%) - Insertados: 465, Actualizados: 1535
2026-03-19 14:21:04,758 - INFO - Progreso: 2100/31293 (6.7%) - Insertados: 482, Actualizados: 1618
2026-03-19 14:21:19,677 - INFO - Progreso: 2200/31293 (7.0%) - Insertados: 501, Actualizados: 1699
2026-03-19 14:21:34,477 - INFO - Progreso: 2300/31293 (7.3%) - Insertados: 520, Actualizados: 1780
2026-03-19 14:21:49,340 - INFO - Progreso: 2400/31293 (7.7%) - Insertados: 536, Actualizados: 1864
2026-03-19 14:22:04,301 - INFO - Progreso: 2500/31293 (8.0%) - Insertados: 550, Actualizados: 1950
2026-03-19 14:22:23,551 - INFO - Progreso: 2600/31293 (8.3%) - Insertados: 567, Actualizados: 2033
2026-03-19 14:22:38,461 - INFO - Progreso: 2700/31293 (8.6%) - Insertados: 586, Actualizados: 2114
2026-03-19 14:22:53,629 - INFO - Progreso: 2800/31293 (8.9%) - Insertados: 607, Actualizados: 2193
2026-03-19 14:23:08,901 - INFO - Progreso: 2900/31293 (9.3%) - Insertados: 611, Actualizados: 2289
2026-03-19 14:23:24,026 - INFO - Progreso: 3000/31293 (9.6%) - Insertados: 612, Actualizados: 2388
2026-03-19 14:23:39,193 - INFO - Progreso: 3100/31293 (9.9%) - Insertados: 613, Actualizados: 2487
2026-03-19 14:23:54,392 - INFO - Progreso: 3200/31293 (10.2%) - Insertados: 615, Actualizados: 2585
2026-03-19 14:24:09,612 - INFO - Progreso: 3300/31293 (10.5%) - Insertados: 615, Actualizados: 2685
2026-03-19 14:24:24,791 - INFO - Progreso: 3400/31293 (10.9%) - Insertados: 617, Actualizados: 2783
2026-03-19 14:24:39,926 - INFO - Progreso: 3500/31293 (11.2%) - Insertados: 620, Actualizados: 2880
2026-03-19 14:24:55,311 - INFO - Progreso: 3600/31293 (11.5%) - Insertados: 620, Actualizados: 2980
2026-03-19 14:25:10,662 - INFO - Progreso: 3700/31293 (11.8%) - Insertados: 620, Actualizados: 3080
2026-03-19 14:25:26,259 - INFO - Progreso: 3800/31293 (12.1%) - Insertados: 620, Actualizados: 3180
2026-03-19 14:25:41,903 - INFO - Progreso: 3900/31293 (12.5%) - Insertados: 620, Actualizados: 3280
2026-03-19 14:25:57,662 - INFO - Progreso: 4000/31293 (12.8%) - Insertados: 621, Actualizados: 3379
2026-03-19 14:26:13,326 - INFO - Progreso: 4100/31293 (13.1%) - Insertados: 621, Actualizados: 3479
2026-03-19 14:26:29,109 - INFO - Progreso: 4200/31293 (13.4%) - Insertados: 622, Actualizados: 3578
2026-03-19 14:26:44,861 - INFO - Progreso: 4300/31293 (13.7%) - Insertados: 622, Actualizados: 3678
2026-03-19 14:27:00,620 - INFO - Progreso: 4400/31293 (14.1%) - Insertados: 622, Actualizados: 3778
2026-03-19 14:27:16,212 - INFO - Progreso: 4500/31293 (14.4%) - Insertados: 623, Actualizados: 3877
2026-03-19 14:27:31,864 - INFO - Progreso: 4600/31293 (14.7%) - Insertados: 624, Actualizados: 3976
2026-03-19 14:27:47,595 - INFO - Progreso: 4700/31293 (15.0%) - Insertados: 624, Actualizados: 4076
2026-03-19 14:28:08,004 - INFO - Progreso: 4800/31293 (15.3%) - Insertados: 625, Actualizados: 4175
2026-03-19 14:28:23,670 - INFO - Progreso: 4900/31293 (15.7%) - Insertados: 629, Actualizados: 4271
2026-03-19 14:28:39,489 - INFO - Progreso: 5000/31293 (16.0%) - Insertados: 629, Actualizados: 4371
2026-03-19 14:28:55,072 - INFO - Progreso: 5100/31293 (16.3%) - Insertados: 629, Actualizados: 4471
2026-03-19 14:29:20,439 - INFO - Progreso: 5200/31293 (16.6%) - Insertados: 629, Actualizados: 4571
2026-03-19 14:29:35,979 - INFO - Progreso: 5300/31293 (16.9%) - Insertados: 630, Actualizados: 4670
2026-03-19 14:29:51,527 - INFO - Progreso: 5400/31293 (17.3%) - Insertados: 631, Actualizados: 4769
2026-03-19 14:30:07,004 - INFO - Progreso: 5500/31293 (17.6%) - Insertados: 633, Actualizados: 4867
2026-03-19 14:30:22,688 - INFO - Progreso: 5600/31293 (17.9%) - Insertados: 634, Actualizados: 4966
2026-03-19 14:30:38,196 - INFO - Progreso: 5700/31293 (18.2%) - Insertados: 641, Actualizados: 5059
2026-03-19 14:30:53,824 - INFO - Progreso: 5800/31293 (18.5%) - Insertados: 641, Actualizados: 5159
2026-03-19 14:31:09,460 - INFO - Progreso: 5900/31293 (18.9%) - Insertados: 642, Actualizados: 5258
2026-03-19 14:31:25,043 - INFO - Progreso: 6000/31293 (19.2%) - Insertados: 642, Actualizados: 5358
2026-03-19 14:31:40,631 - INFO - Progreso: 6100/31293 (19.5%) - Insertados: 642, Actualizados: 5458
2026-03-19 14:31:56,319 - INFO - Progreso: 6200/31293 (19.8%) - Insertados: 644, Actualizados: 5556
2026-03-19 14:32:11,850 - INFO - Progreso: 6300/31293 (20.1%) - Insertados: 650, Actualizados: 5650
2026-03-19 14:32:27,660 - INFO - Progreso: 6400/31293 (20.5%) - Insertados: 653, Actualizados: 5747
2026-03-19 14:32:44,674 - INFO - Progreso: 6500/31293 (20.8%) - Insertados: 653, Actualizados: 5847
2026-03-19 14:33:01,099 - INFO - Progreso: 6600/31293 (21.1%) - Insertados: 653, Actualizados: 5947
2026-03-19 14:33:16,796 - INFO - Progreso: 6700/31293 (21.4%) - Insertados: 654, Actualizados: 6046
2026-03-19 14:33:32,338 - INFO - Progreso: 6800/31293 (21.7%) - Insertados: 655, Actualizados: 6145
2026-03-19 14:33:47,793 - INFO - Progreso: 6900/31293 (22.0%) - Insertados: 655, Actualizados: 6245
2026-03-19 14:34:03,096 - INFO - Progreso: 7000/31293 (22.4%) - Insertados: 655, Actualizados: 6345
2026-03-19 14:34:18,354 - INFO - Progreso: 7100/31293 (22.7%) - Insertados: 664, Actualizados: 6436
2026-03-19 14:34:33,700 - INFO - Progreso: 7200/31293 (23.0%) - Insertados: 667, Actualizados: 6533
2026-03-19 14:34:49,483 - INFO - Progreso: 7300/31293 (23.3%) - Insertados: 677, Actualizados: 6623
2026-03-19 14:35:05,791 - INFO - Progreso: 7400/31293 (23.6%) - Insertados: 678, Actualizados: 6722
2026-03-19 14:35:21,290 - INFO - Progreso: 7500/31293 (24.0%) - Insertados: 678, Actualizados: 6822
2026-03-19 14:35:36,643 - INFO - Progreso: 7600/31293 (24.3%) - Insertados: 679, Actualizados: 6921
2026-03-19 14:35:51,936 - INFO - Progreso: 7700/31293 (24.6%) - Insertados: 681, Actualizados: 7019
2026-03-19 14:36:07,299 - INFO - Progreso: 7800/31293 (24.9%) - Insertados: 681, Actualizados: 7119
2026-03-19 14:36:22,590 - INFO - Progreso: 7900/31293 (25.2%) - Insertados: 681, Actualizados: 7219
2026-03-19 14:36:37,880 - INFO - Progreso: 8000/31293 (25.6%) - Insertados: 683, Actualizados: 7317
2026-03-19 14:36:53,260 - INFO - Progreso: 8100/31293 (25.9%) - Insertados: 683, Actualizados: 7417
2026-03-19 14:37:08,382 - INFO - Progreso: 8200/31293 (26.2%) - Insertados: 695, Actualizados: 7505
2026-03-19 14:37:23,671 - INFO - Progreso: 8300/31293 (26.5%) - Insertados: 700, Actualizados: 7600
2026-03-19 14:37:39,088 - INFO - Progreso: 8400/31293 (26.8%) - Insertados: 701, Actualizados: 7699
2026-03-19 14:37:54,370 - INFO - Progreso: 8500/31293 (27.2%) - Insertados: 701, Actualizados: 7799
2026-03-19 14:38:09,852 - INFO - Progreso: 8600/31293 (27.5%) - Insertados: 701, Actualizados: 7899
2026-03-19 14:38:25,545 - INFO - Progreso: 8700/31293 (27.8%) - Insertados: 701, Actualizados: 7999
2026-03-19 14:38:40,976 - INFO - Progreso: 8800/31293 (28.1%) - Insertados: 702, Actualizados: 8098
2026-03-19 14:38:56,381 - INFO - Progreso: 8900/31293 (28.4%) - Insertados: 702, Actualizados: 8198
2026-03-19 14:39:11,803 - INFO - Progreso: 9000/31293 (28.8%) - Insertados: 702, Actualizados: 8298
2026-03-19 14:39:36,471 - INFO - Progreso: 9100/31293 (29.1%) - Insertados: 706, Actualizados: 8394
2026-03-19 14:39:51,967 - INFO - Progreso: 9200/31293 (29.4%) - Insertados: 706, Actualizados: 8494
2026-03-19 14:40:07,411 - INFO - Progreso: 9300/31293 (29.7%) - Insertados: 706, Actualizados: 8594
2026-03-19 14:40:22,981 - INFO - Progreso: 9400/31293 (30.0%) - Insertados: 707, Actualizados: 8693
2026-03-19 14:40:38,451 - INFO - Progreso: 9500/31293 (30.4%) - Insertados: 707, Actualizados: 8793
